 PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
 ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                           ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                       FIELD    FIELD    SCATT.   SCATT.
  (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)

1.000E-03 1.08E+00 1.26E-02 2.21E+03 0.00E+00 0.00E+00 2.21E+03 2.21E+03 
1.500E-03 9.59E-01 2.51E-02 6.99E+02 0.00E+00 0.00E+00 7.00E+02 6.99E+02 
2.000E-03 8.32E-01 3.86E-02 3.02E+02 0.00E+00 0.00E+00 3.03E+02 3.02E+02 
3.000E-03 6.13E-01 6.41E-02 8.96E+01 0.00E+00 0.00E+00 9.03E+01 8.97E+01 
4.000E-03 4.60E-01 8.45E-02 3.72E+01 0.00E+00 0.00E+00 3.78E+01 3.73E+01 
5.000E-03 3.59E-01 9.95E-02 1.87E+01 0.00E+00 0.00E+00 1.91E+01 1.88E+01 
6.000E-03 2.92E-01 1.10E-01 1.05E+01 0.00E+00 0.00E+00 1.09E+01 1.07E+01 
7.000E-03 2.44E-01 1.19E-01 6.48E+00 0.00E+00 0.00E+00 6.85E+00 6.60E+00 
8.000E-03 2.10E-01 1.25E-01 4.24E+00 0.00E+00 0.00E+00 4.58E+00 4.37E+00 
9.000E-03 1.83E-01 1.31E-01 2.91E+00 0.00E+00 0.00E+00 3.22E+00 3.04E+00 
1.000E-02 1.62E-01 1.35E-01 2.08E+00 0.00E+00 0.00E+00 2.37E+00 2.21E+00 
1.500E-02 9.79E-02 1.51E-01 5.59E-01 0.00E+00 0.00E+00 8.07E-01 7.10E-01 
2.000E-02 6.48E-02 1.60E-01 2.18E-01 0.00E+00 0.00E+00 4.42E-01 3.77E-01 
3.000E-02 3.36E-02 1.65E-01 5.71E-02 0.00E+00 0.00E+00 2.56E-01 2.23E-01 
4.000E-02 2.05E-02 1.65E-01 2.19E-02 0.00E+00 0.00E+00 2.08E-01 1.87E-01 
5.000E-02 1.37E-02 1.63E-01 1.04E-02 0.00E+00 0.00E+00 1.87E-01 1.73E-01 
6.000E-02 9.81E-03 1.60E-01 5.67E-03 0.00E+00 0.00E+00 1.75E-01 1.66E-01 
7.000E-02 7.35E-03 1.56E-01 3.39E-03 0.00E+00 0.00E+00 1.67E-01 1.60E-01 
8.000E-02 5.71E-03 1.53E-01 2.17E-03 0.00E+00 0.00E+00 1.61E-01 1.55E-01 
9.000E-02 4.56E-03 1.50E-01 1.46E-03 0.00E+00 0.00E+00 1.56E-01 1.51E-01 
1.000E-01 3.72E-03 1.47E-01 1.03E-03 0.00E+00 0.00E+00 1.51E-01 1.48E-01 
1.100E-01 3.09E-03 1.44E-01 7.52E-04 0.00E+00 0.00E+00 1.47E-01 1.44E-01 
1.200E-01 2.61E-03 1.41E-01 5.64E-04 0.00E+00 0.00E+00 1.44E-01 1.41E-01 
1.300E-01 2.23E-03 1.38E-01 4.33E-04 0.00E+00 0.00E+00 1.41E-01 1.38E-01 
1.400E-01 1.93E-03 1.35E-01 3.39E-04 0.00E+00 0.00E+00 1.37E-01 1.36E-01 
1.500E-01 1.68E-03 1.33E-01 2.71E-04 0.00E+00 0.00E+00 1.35E-01 1.33E-01 
1.600E-01 1.48E-03 1.30E-01 2.19E-04 0.00E+00 0.00E+00 1.32E-01 1.31E-01 
1.700E-01 1.32E-03 1.28E-01 1.80E-04 0.00E+00 0.00E+00 1.30E-01 1.28E-01 
1.800E-01 1.18E-03 1.26E-01 1.49E-04 0.00E+00 0.00E+00 1.27E-01 1.26E-01 
1.900E-01 1.06E-03 1.24E-01 1.25E-04 0.00E+00 0.00E+00 1.25E-01 1.24E-01 
2.000E-01 9.54E-04 1.22E-01 1.06E-04 0.00E+00 0.00E+00 1.23E-01 1.22E-01 
2.100E-01 8.66E-04 1.20E-01 9.09E-05 0.00E+00 0.00E+00 1.21E-01 1.20E-01 
2.200E-01 7.90E-04 1.18E-01 7.84E-05 0.00E+00 0.00E+00 1.19E-01 1.18E-01 
2.300E-01 7.23E-04 1.16E-01 6.81E-05 0.00E+00 0.00E+00 1.17E-01 1.17E-01 
2.400E-01 6.65E-04 1.15E-01 5.95E-05 0.00E+00 0.00E+00 1.16E-01 1.15E-01 
2.500E-01 6.13E-04 1.13E-01 5.24E-05 0.00E+00 0.00E+00 1.14E-01 1.13E-01 
2.600E-01 5.67E-04 1.12E-01 4.63E-05 0.00E+00 0.00E+00 1.12E-01 1.12E-01 
2.700E-01 5.26E-04 1.10E-01 4.12E-05 0.00E+00 0.00E+00 1.11E-01 1.10E-01 
2.800E-01 4.89E-04 1.09E-01 3.68E-05 0.00E+00 0.00E+00 1.09E-01 1.09E-01 
2.900E-01 4.56E-04 1.08E-01 3.31E-05 0.00E+00 0.00E+00 1.08E-01 1.08E-01 
3.000E-01 4.26E-04 1.06E-01 2.98E-05 0.00E+00 0.00E+00 1.07E-01 1.06E-01 
3.100E-01 3.99E-04 1.05E-01 2.70E-05 0.00E+00 0.00E+00 1.05E-01 1.05E-01 
3.200E-01 3.75E-04 1.04E-01 2.45E-05 0.00E+00 0.00E+00 1.04E-01 1.04E-01 
3.300E-01 3.53E-04 1.03E-01 2.24E-05 0.00E+00 0.00E+00 1.03E-01 1.03E-01 
